CASE,HFO,LSFO,LNG,HFOLNG,Persian Gulf(LNG),Persian Gulf(method),Japan(LNG),Japan(method),Singapore(LNG),Singapore(method),Valid,Explanation
223,0,0,0,20,1,Shore to Ship,3,Ship to Ship,1,Ship to Ship,TRUE,
224,0,0,0,20,1,Shore to Ship,3,Ship to Ship,1,Shore to Ship,TRUE,
225,0,0,0,20,1,Shore to Ship,3,Ship to Ship,3,Truck to Ship,TRUE,
226,0,0,0,20,1,Shore to Ship,3,Ship to Ship,3,Ship to Ship,TRUE,
227,0,0,0,20,1,Shore to Ship,3,Ship to Ship,3,Shore to Ship,TRUE,
228,0,0,0,20,1,Shore to Ship,3,Shore to Ship,0,Truck to Ship,TRUE,
229,0,0,0,20,1,Shore to Ship,3,Shore to Ship,1,Truck to Ship,TRUE,
230,0,0,0,20,1,Shore to Ship,3,Shore to Ship,1,Ship to Ship,TRUE,
231,0,0,0,20,1,Shore to Ship,3,Shore to Ship,1,Shore to Ship,TRUE,
232,0,0,0,20,1,Shore to Ship,3,Shore to Ship,3,Truck to Ship,TRUE,
233,0,0,0,20,1,Shore to Ship,3,Shore to Ship,3,Ship to Ship,TRUE,
234,0,0,0,20,1,Shore to Ship,3,Shore to Ship,3,Shore to Ship,TRUE,
235,0,0,0,20,3,Truck to Ship,0,Truck to Ship,1,Truck to Ship,TRUE,
236,0,0,0,20,3,Truck to Ship,0,Truck to Ship,1,Ship to Ship,TRUE,
237,0,0,0,20,3,Truck to Ship,0,Truck to Ship,1,Shore to Ship,TRUE,
238,0,0,0,20,3,Truck to Ship,0,Truck to Ship,3,Truck to Ship,TRUE,
239,0,0,0,20,3,Truck to Ship,0,Truck to Ship,3,Ship to Ship,TRUE,
240,0,0,0,20,3,Truck to Ship,0,Truck to Ship,3,Shore to Ship,TRUE,
241,0,0,0,20,3,Truck to Ship,0,Ship to Ship,1,Truck to Ship,TRUE,
242,0,0,0,20,3,Truck to Ship,0,Ship to Ship,1,Ship to Ship,TRUE,
243,0,0,0,20,3,Truck to Ship,0,Ship to Ship,1,Shore to Ship,TRUE,
244,0,0,0,20,3,Truck to Ship,0,Ship to Ship,3,Truck to Ship,TRUE,
245,0,0,0,20,3,Truck to Ship,0,Ship to Ship,3,Ship to Ship,TRUE,
246,0,0,0,20,3,Truck to Ship,0,Ship to Ship,3,Shore to Ship,TRUE,
247,0,0,0,20,3,Truck to Ship,0,Shore to Ship,1,Truck to Ship,TRUE,
248,0,0,0,20,3,Truck to Ship,0,Shore to Ship,1,Ship to Ship,TRUE,
249,0,0,0,20,3,Truck to Ship,0,Shore to Ship,1,Shore to Ship,TRUE,
250,0,0,0,20,3,Truck to Ship,0,Shore to Ship,3,Truck to Ship,TRUE,
251,0,0,0,20,3,Truck to Ship,0,Shore to Ship,3,Ship to Ship,TRUE,
252,0,0,0,20,3,Truck to Ship,0,Shore to Ship,3,Shore to Ship,TRUE,
253,0,0,0,20,3,Truck to Ship,1,Truck to Ship,0,Truck to Ship,TRUE,
254,0,0,0,20,3,Truck to Ship,1,Truck to Ship,1,Truck to Ship,TRUE,
255,0,0,0,20,3,Truck to Ship,1,Truck to Ship,1,Ship to Ship,TRUE,
256,0,0,0,20,3,Truck to Ship,1,Truck to Ship,1,Shore to Ship,TRUE,
